Word,Average,Median
aalii,0.0024312765863188854,6.696183931517732e-05
abaca,0.0024436406079825688,4.56061565870187e-05
aback,0.002337894877744834,3.5627858175106054e-05
abaff,0.0019779201169941333,2.8672739706254812e-05
abaft,0.0023346601789560363,3.944757810811657e-05
abase,0.0029183704718543473,5.6320939478248346e-05
abash,0.0025677839305517543,4.023969918223849e-05
abask,0.0025602420892834364,3.8215652266640737e-05
abate,0.0026878954149474063,5.870410224266472e-05
abave,0.0025616776262277993,5.0173897822778073e-05
abaze,0.0024436005696426137,5.0502287172356165e-05
abbas,0.002425973893566334,3.711895916967044e-05
abbey,0.002540395803585438,6.83981961797105e-05
abbot,0.0023247792901350674,3.5107211477579387e-05
abdal,0.002427762973532225,3.809823215740433e-05
abdat,0.002442763848152004,4.432531648707115e-05
abeam,0.0026768028578763097,3.8995162578262974e-05
abear,0.0028025974409328796,4.796429744867656e-05
abele,0.002803790438874853,5.326212599776877e-05
abhor,0.002200788817805462,3.113216528029524e-05
abide,0.0027787627944846163,4.957522127348548e-05
abidi,0.002202693778054693,3.076960058809048e-05
abilo,0.0023133499210286563,3.7095795723996686e-05
abkar,0.0024312774435595935,3.93044232952768e-05
abler,0.0024281581010870035,4.690774575710955e-05
ablow,0.002308747292991714,2.8693409840267563e-05
abmho,0.0017331550906125206,2.4245941206190347e-05
abnet,0.0025442363939429404,5.952344708360529e-05
abode,0.0031247677166728175,4.957522127348548e-05
abody,0.002889191900506525,5.105251255705382e-05
abohm,0.0020805114642889755,2.8714085919098818e-05
aboil,0.0025408917348331557,4.688150737225218e-05
aboma,0.002552886690873293,3.840389932066257e-05
aboon,0.0025623363954981973,3.8427462713612085e-05
abord,0.0025521259101758615,3.892397058460949e-05
abort,0.0028987686866622816,4.313980574886624e-05
about,0.0025427552376963342,4.082090682128297e-05
above,0.0027711773995043095,4.667190588441699e-05
abret,0.002553123805803963,6.415554968918492e-05
abrim,0.0024249830942364584,4.197179744656383e-05
abrin,0.0025441592603437447,4.738149460942006e-05
absit,0.0021996667633962567,4.256606453708489e-05
abuna,0.0025463149256029745,3.992668404660831e-05
abura,0.002777824740258255,3.973468562406735e-05
abuse,0.0027828495921143072,4.938564185812672e-05
abuzz,0.0017298089972094498,2.1523979505523908e-05
abwab,0.0019669666094332835,2.9692614951784562e-05
abysm,0.0020778762295513313,2.4596271099199804e-05
abyss,0.0020846409196241555,2.709879114681839e-05
acana,0.0032473187595991626,4.9034721474943256e-05
acapu,0.0020865575337086703,3.255701892030085e-05
acara,0.0032523820188219026,4.8257269637146306e-05
acari,0.0029036040856509683,3.892397058460949e-05
acate,0.003060443858448127,6.099929696790329e-05
accoy,0.0025385134583264697,5.247227936341811e-05
acedy,0.002430098278152173,5.202425711284104e-05
acerb,0.00208489835217199,3.275347154470273e-05
